Designator,MPN,QTY,Link,,,,,,,,MANUFACTURER_PART_NUMBER,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MPN,OC_FARNELL,OC_NEWARK,PROD_ID,SPICEPREFIX,VALUE
LED1-2-2,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED1-2-3,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED1-2-4,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED1-2-5,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED1-2-6,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED1-2-7,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED1-2-8,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED1-2-9,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED1-2-10,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED1-2-11,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED1-2-12,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
